Quarter,Station,StationName,ChargerType,Avg_Degree_Per_Day
2021-Q1,BZ04,中彰賓士_台中,DC,17.4
2021-Q1,BZ05,中華賓士_台北關渡,DC,7.9
2021-Q1,BZ06,中華賓士_桃園,DC,5.25
2021-Q1,BZ07,中華賓士_台中河南,DC,21.02
2021-Q1,BZ08,中華賓士_台南(永康區),DC,4.66
2021-Q1,BZ09,中華賓士_高屏,DC,6.19
2021-Q1,BZ10,中華賓士_花蓮,DC,1.47
2021-Q1,BZ12,台明賓士_新北三重,DC,0.01
2021-Q1,DD00,建國北路高架A區,AC,46.56
2021-Q1,DD01,建國北路高架B區,AC,47.29
2021-Q1,DD02,建國北路高架G區,AC,18.48
2021-Q1,DD03,建國北路高架H區,AC,9.68
2021-Q1,DD04,建國北路高架IA區,AC,11.93
2021-Q1,EV00,台北內湖旗艦站,AC,2.43
2021-Q1,EV01,高雄鳳頂高爾夫練習場,AC,0
2021-Q1,EV02,嘉義優遊吧斯,AC,3.08
2021-Q1,EV03,新竹老爺關西高爾夫,AC,3.97
2021-Q1,EV04,桃園JC PARK春日館,AC,15.96
2021-Q1,EV05,台中港酒店,AC,5.01
2021-Q1,EV06,台中裕元花園酒店,AC,11.98
2021-Q1,EV07,宜蘭新月廣場,AC,18.2
2021-Q1,EV08,Times台南U.I.J Hotel & Hostel停車場,AC,2.6
2021-Q1,EV09,台北大倉久和大飯店,AC,6.37
2021-Q1,EV10,高雄漢神百貨,AC,6.61
2021-Q1,EV11,台北台日交流協會,AC,5.99
2021-Q1,EV12,宜蘭安永心食館,DC,1.1
2021-Q1,EV13,新竹昌益科技產發園區,AC,0.04
2021-Q1,EV16,嘉義耐斯王子大飯店,AC,0.09
2021-Q1,EV17,台北信義之星(限住戶使用),AC,0.71
2021-Q1,EV18,台中福華大飯店,AC,0.49
2021-Q1,EV19,苗栗天空之城,AC,0.25
2021-Q1,FE00,華城_中壢廠員工停車場,AC,1.08
2021-Q1,FH00,雀客旅館_新北蘆洲,AC,0.14
2021-Q1,HS01,金弘笙_台南永康店,DC,1.51
2021-Q1,HS02,金弘笙_高雄九如店,DC,0.59
2021-Q1,SP00,新竹生醫科學園區,AC,4.06
2021-Q1,SP01,新竹科學園區_活動中心,AC,3.61
2021-Q1,SP06,竹南科學園區_服務處,AC,0.47
2021-Q1,TH00,屏東統一墾丁渡假村,AC,0.5
2021-Q1,TTEST001,華城內部測試站點,AC,2.17
2021-Q1,TTEST001,華城內部測試站點,DC,0
2021-Q1,YK00,台北新光南港軟體園區,AC,3.78
2021-Q1,YK00,台北新光南港軟體園區,DC,2.15
2021-Q2,NULL,NULL,AC,58.86
2021-Q2,7E01,7-11_南投邵月門市(原鑫中潭),DC,4.87
2021-Q2,BZ00,台隆賓士_台北濱江,DC,19.99
2021-Q2,BZ01,賓航賓士_新北中和,DC,5.79
2021-Q2,BZ02,賓泓賓士_台南(南區),DC,1.09
2021-Q2,BZ03,德冠賓士_高雄,DC,6.36
2021-Q2,BZ04,中彰賓士_台中,DC,6.71
2021-Q2,BZ05,中華賓士_台北關渡,DC,16.1
2021-Q2,BZ06,中華賓士_桃園,DC,8.77
2021-Q2,BZ07,中華賓士_台中河南,DC,20.25
2021-Q2,BZ08,中華賓士_台南(永康區),DC,2.61
2021-Q2,BZ09,中華賓士_高屏,DC,2.74
2021-Q2,BZ10,中華賓士_花蓮,DC,2.17
2021-Q2,BZ11,中華賓士_台北內湖,DC,14.77
2021-Q2,BZ12,台明賓士_新北三重,DC,0.89
2021-Q2,DD00,建國北路高架A區,AC,39.49
2021-Q2,DD01,建國北路高架B區,AC,40.39
2021-Q2,DD02,建國北路高架G區,AC,14.05
2021-Q2,DD03,建國北路高架H區,AC,7.38
2021-Q2,DD04,建國北路高架IA區,AC,10.43
2021-Q2,EV00,台北內湖旗艦站,AC,0.66
2021-Q2,EV01,高雄鳳頂高爾夫練習場,AC,1.25
2021-Q2,EV02,嘉義優遊吧斯,AC,6.51
2021-Q2,EV03,新竹老爺關西高爾夫,AC,2.3
2021-Q2,EV04,桃園JC PARK春日館,AC,10.48
2021-Q2,EV05,台中港酒店,AC,0.26
2021-Q2,EV06,台中裕元花園酒店,AC,6.26
2021-Q2,EV07,宜蘭新月廣場,AC,16.17
2021-Q2,EV08,Times台南U.I.J Hotel & Hostel停車場,AC,3.66
2021-Q2,EV09,台北大倉久和大飯店,AC,5.34
2021-Q2,EV10,高雄漢神百貨,AC,9.77
2021-Q2,EV11,台北台日交流協會,AC,6.55
2021-Q2,EV12,宜蘭安永心食館,DC,2.08
2021-Q2,EV13,新竹昌益科技產發園區,AC,0.62
2021-Q2,EV16,嘉義耐斯王子大飯店,AC,4.93
2021-Q2,EV17,台北信義之星(限住戶使用),AC,9.91
2021-Q2,EV18,台中福華大飯店,AC,2.98
2021-Q2,EV19,苗栗天空之城,AC,0.15
2021-Q2,EV20,新北土城日月光廣場,AC,0.37
2021-Q2,EV20,新北土城日月光廣場,DC,0.9
2021-Q2,EV21,新北馥蘭朵烏來渡假酒店,AC,0
2021-Q2,EV22,宜蘭五結綠舞觀光飯店,AC,0
2021-Q2,EV23,台中豐原高爾夫球場,AC,0.11
2021-Q2,EV25,新北萬里沐舍酒店,DC,0.66
2021-Q2,EV26,宜蘭外澳服務區停車場,AC,0
2021-Q2,FE00,華城_中壢廠員工停車場,AC,0.58
2021-Q2,FH00,雀客旅館_新北蘆洲,AC,1.01
2021-Q2,HS01,金弘笙_台南永康店,DC,13.18
2021-Q2,HS02,金弘笙_高雄九如店,DC,5.76
2021-Q2,SP00,新竹生醫科學園區,AC,1.54
2021-Q2,SP01,新竹科學園區_活動中心,AC,11.53
2021-Q2,SP06,竹南科學園區_服務處,AC,0.21
2021-Q2,TH00,屏東統一墾丁渡假村,AC,0.68
2021-Q2,TTEST001,華城內部測試站點,AC,0.11
2021-Q2,TTEST001,華城內部測試站點,DC,0.02
2021-Q2,YK00,台北新光南港軟體園區,AC,2.74
2021-Q2,YK00,台北新光南港軟體園區,DC,1.33
2021-Q2,YK01,台北內湖亞太經貿廣場A棟,AC,2.03
2021-Q3,NULL,NULL,AC,84.86
2021-Q3,7E01,7-11_南投邵月門市(原鑫中潭),DC,16.44
2021-Q3,BQ00,桃園南崁特力家居,AC,3.9
2021-Q3,BQ00,桃園南崁特力家居,DC,9.57
2021-Q3,BZ00,台隆賓士_台北濱江,DC,10.21
2021-Q3,BZ01,賓航賓士_新北中和,DC,6.75
2021-Q3,BZ02,賓泓賓士_台南(南區),DC,1.55
2021-Q3,BZ03,德冠賓士_高雄,DC,7.8
2021-Q3,BZ04,中彰賓士_台中,DC,11.73
2021-Q3,BZ05,中華賓士_台北關渡,DC,7.23
2021-Q3,BZ06,中華賓士_桃園,DC,10.73
2021-Q3,BZ07,中華賓士_台中河南,DC,34.49
2021-Q3,BZ08,中華賓士_台南(永康區),DC,7.47
2021-Q3,BZ09,中華賓士_高屏,DC,1.78
2021-Q3,BZ10,中華賓士_花蓮,DC,5.99
2021-Q3,BZ11,中華賓士_台北內湖,DC,43.33
2021-Q3,BZ12,台明賓士_新北三重,DC,4.97
2021-Q3,DD00,建國北路高架A區,AC,47.54
2021-Q3,DD01,建國北路高架B區,AC,51.52
2021-Q3,DD02,建國北路高架G區,AC,10.13
2021-Q3,DD03,建國北路高架H區,AC,8.25
2021-Q3,DD04,建國北路高架IA區,AC,11.65
2021-Q3,EV00,台北內湖旗艦站,AC,4.48
2021-Q3,EV01,高雄鳳頂高爾夫練習場,AC,3.08
2021-Q3,EV02,嘉義優遊吧斯,AC,2.03
2021-Q3,EV03,新竹老爺關西高爾夫,AC,2.35
2021-Q3,EV04,桃園JC PARK春日館,AC,10.8
2021-Q3,EV05,台中港酒店,AC,2.18
2021-Q3,EV06,台中裕元花園酒店,AC,10.88
2021-Q3,EV07,宜蘭新月廣場,AC,10.88
2021-Q3,EV08,Times台南U.I.J Hotel & Hostel停車場,AC,5.17
2021-Q3,EV09,台北大倉久和大飯店,AC,3.5
2021-Q3,EV10,高雄漢神百貨,AC,20.24
2021-Q3,EV11,台北台日交流協會,AC,4.68
2021-Q3,EV12,宜蘭安永心食館,DC,5.35
2021-Q3,EV13,新竹昌益科技產發園區,AC,0.56
2021-Q3,EV16,嘉義耐斯王子大飯店,AC,6.3
2021-Q3,EV17,台北信義之星(限住戶使用),AC,24.97
2021-Q3,EV18,台中福華大飯店,AC,3.1
2021-Q3,EV19,苗栗天空之城,AC,0.82
2021-Q3,EV20,新北土城日月光廣場,AC,0.33
2021-Q3,EV20,新北土城日月光廣場,DC,3.06
2021-Q3,EV21,新北馥蘭朵烏來渡假酒店,AC,0.21
2021-Q3,EV22,宜蘭五結綠舞觀光飯店,AC,2.69
2021-Q3,EV23,台中豐原高爾夫球場,AC,1.19
2021-Q3,EV25,新北萬里沐舍酒店,DC,4
2021-Q3,EV26,宜蘭外澳服務區停車場,AC,5.55
2021-Q3,EV27,新竹豐邑喜來登大飯店,AC,19.5
2021-Q3,EV28,新竹Big City遠東巨城,AC,4.41
2021-Q3,EV29,高雄大榮中學停車場,AC,1.64
2021-Q3,EV30,雲林斗六緻麗伯爵酒店,AC,2.25
2021-Q3,EV31,新北永和比漾廣場,AC,0.05
2021-Q3,FE00,華城_中壢廠員工停車場,AC,0.71
2021-Q3,FH00,雀客旅館_新北蘆洲,AC,1.38
2021-Q3,HS00,金弘笙_新竹竹北店,DC,5.86
2021-Q3,HS01,金弘笙_台南永康店,DC,12.81
2021-Q3,HS02,金弘笙_高雄九如店,DC,7.52
2021-Q3,LX00,LEXUS_台北濱江服務廠,DC,3.53
2021-Q3,LX02,LEXUS_桃園營業所,DC,0.15
2021-Q3,LX03,LEXUS_台中營業所,DC,0.37
2021-Q3,LX04,LEXUS_台南營業所,DC,0.44
2021-Q3,LX05,LEXUS_高雄民族營業所,DC,0.24
2021-Q3,SP00,新竹生醫科學園區,AC,1.9
2021-Q3,SP01,新竹科學園區_活動中心,AC,6.8
2021-Q3,SP06,竹南科學園區_服務處,AC,2.65
2021-Q3,TH00,屏東統一墾丁渡假村,AC,1.5
2021-Q3,TTEST001,華城內部測試站點,AC,0.05
2021-Q3,TTEST001,華城內部測試站點,DC,0.02
2021-Q3,YK00,台北新光南港軟體園區,AC,4.38
2021-Q3,YK00,台北新光南港軟體園區,DC,0.44
2021-Q3,YK01,台北內湖亞太經貿廣場A棟,AC,8.47
2021-Q4,NULL,NULL,AC,133.48
2021-Q4,7E01,7-11_南投邵月門市(原鑫中潭),DC,10.76
2021-Q4,BQ00,桃園南崁特力家居,AC,9.63
2021-Q4,BQ00,桃園南崁特力家居,DC,12.73
2021-Q4,BZ00,台隆賓士_台北濱江,DC,10.77
2021-Q4,BZ01,賓航賓士_新北中和,DC,8.93
2021-Q4,BZ02,賓泓賓士_台南(南區),DC,1.36
2021-Q4,BZ03,德冠賓士_高雄,DC,5.52
2021-Q4,BZ04,中彰賓士_台中,DC,12.23
2021-Q4,BZ05,中華賓士_台北關渡,DC,8.01
2021-Q4,BZ06,中華賓士_桃園,DC,8.46
2021-Q4,BZ07,中華賓士_台中河南,DC,28.61
2021-Q4,BZ08,中華賓士_台南(永康區),DC,11.51
2021-Q4,BZ09,中華賓士_高屏,DC,9.95
2021-Q4,BZ10,中華賓士_花蓮,DC,3.75
2021-Q4,BZ11,中華賓士_台北內湖,DC,23.61
2021-Q4,BZ12,台明賓士_新北三重,DC,3.69
2021-Q4,DD00,建國北路高架A區,AC,69.58
2021-Q4,DD01,建國北路高架B區,AC,71.34
2021-Q4,DD02,建國北路高架G區,AC,10.79
2021-Q4,DD03,建國北路高架H區,AC,7.88
2021-Q4,DD04,建國北路高架IA區,AC,17.27
2021-Q4,EV00,台北內湖旗艦站,AC,2.34
2021-Q4,EV01,高雄鳳頂高爾夫練習場,AC,1.95
2021-Q4,EV02,嘉義優遊吧斯,AC,5.61
2021-Q4,EV03,新竹老爺關西高爾夫,AC,5.72
2021-Q4,EV04,桃園JC PARK春日館,AC,13.8
2021-Q4,EV05,台中港酒店,AC,17.05
2021-Q4,EV06,台中裕元花園酒店,AC,22.07
2021-Q4,EV07,宜蘭新月廣場,AC,22.7
2021-Q4,EV08,Times台南U.I.J Hotel & Hostel停車場,AC,7.64
2021-Q4,EV09,台北大倉久和大飯店,AC,12.06
2021-Q4,EV10,高雄漢神百貨,AC,23.47
2021-Q4,EV11,台北台日交流協會,AC,8.08
2021-Q4,EV12,宜蘭安永心食館,DC,4.43
2021-Q4,EV13,新竹昌益科技產發園區,AC,1.54
2021-Q4,EV16,嘉義耐斯王子大飯店,AC,9.57
2021-Q4,EV17,台北信義之星(限住戶使用),AC,22.71
2021-Q4,EV18,台中福華大飯店,AC,8.47
2021-Q4,EV19,苗栗天空之城,AC,2.68
2021-Q4,EV20,新北土城日月光廣場,AC,4.93
2021-Q4,EV20,新北土城日月光廣場,DC,6.94
2021-Q4,EV21,新北馥蘭朵烏來渡假酒店,AC,1.41
2021-Q4,EV22,宜蘭五結綠舞觀光飯店,AC,6.3
2021-Q4,EV23,台中豐原高爾夫球場,AC,2.02
2021-Q4,EV25,新北萬里沐舍酒店,DC,3.2
2021-Q4,EV26,宜蘭外澳服務區停車場,AC,3.33
2021-Q4,EV27,新竹豐邑喜來登大飯店,AC,36.91
2021-Q4,EV28,新竹Big City遠東巨城,AC,68.48
2021-Q4,EV29,高雄大榮中學停車場,AC,8.83
2021-Q4,EV30,雲林斗六緻麗伯爵酒店,AC,6.79
2021-Q4,EV31,新北永和比漾廣場,AC,9.39
2021-Q4,EV32,台中米平方廣場,AC,6.02
2021-Q4,EV33,台東日暉國際渡假村,AC,1.74
2021-Q4,EV34,台北維多麗亞酒店,AC,0.62
2021-Q4,EV35,宜蘭蘭陽烏石港海景酒店,AC,0.23
2021-Q4,FE00,華城_中壢廠員工停車場,AC,1.84
2021-Q4,FH00,雀客旅館_新北蘆洲,AC,2.85
2021-Q4,FH01,F-Hotel_嘉義館,AC,1.58
2021-Q4,HS00,金弘笙_新竹竹北店,DC,28.58
2021-Q4,HS01,金弘笙_台南永康店,DC,17.32
2021-Q4,HS02,金弘笙_高雄九如店,DC,10.38
2021-Q4,LX00,LEXUS_台北濱江服務廠,DC,11.16
2021-Q4,LX01,LEXUS_台北內湖營業所,DC,0.03
2021-Q4,LX02,LEXUS_桃園營業所,DC,3.6
2021-Q4,LX03,LEXUS_台中營業所,DC,1.79
2021-Q4,LX04,LEXUS_台南營業所,DC,1.09
2021-Q4,LX05,LEXUS_高雄民族營業所,DC,0.2
2021-Q4,SP00,新竹生醫科學園區,AC,6.35
2021-Q4,SP01,新竹科學園區_活動中心,AC,5.98
2021-Q4,SP06,竹南科學園區_服務處,AC,6.64
2021-Q4,TH00,屏東統一墾丁渡假村,AC,2.01
2021-Q4,TH01,新竹統一馬武督渡假會議中心,AC,0.37
2021-Q4,TH02,台中統一谷關渡假村,AC,0
2021-Q4,TK00,燦坤_台中五權店,DC,0.66
2021-Q4,TS00,台糖_台北會館,AC,0.91
2021-Q4,TTEST001,華城內部測試站點,AC,0.05
2021-Q4,TTEST001,華城內部測試站點,DC,0
2021-Q4,YK00,台北新光南港軟體園區,AC,13.85
2021-Q4,YK00,台北新光南港軟體園區,DC,0.88
2021-Q4,YK01,台北內湖亞太經貿廣場A棟,AC,9.84
2021-Q4,YK02,新北淡水新光淡江複合學舍,AC,0.75
2022-Q1,NULL,NULL,AC,122.81
2022-Q1,7E01,7-11_南投邵月門市(原鑫中潭),DC,19.38
2022-Q1,BQ00,桃園南崁特力家居,AC,7.23
2022-Q1,BQ00,桃園南崁特力家居,DC,35.87
2022-Q1,BZ00,台隆賓士_台北濱江,DC,5.94
2022-Q1,BZ01,賓航賓士_新北中和,DC,15.14
2022-Q1,BZ02,賓泓賓士_台南(南區),DC,5.69
2022-Q1,BZ03,德冠賓士_高雄,DC,9.39
2022-Q1,BZ04,中彰賓士_台中,DC,7.47
2022-Q1,BZ05,中華賓士_台北關渡,DC,30.76
2022-Q1,BZ06,中華賓士_桃園,DC,3.01
2022-Q1,BZ07,中華賓士_台中河南,DC,20.88
2022-Q1,BZ08,中華賓士_台南(永康區),DC,4.62
2022-Q1,BZ09,中華賓士_高屏,DC,9.1
2022-Q1,BZ10,中華賓士_花蓮,DC,3.59
2022-Q1,BZ11,中華賓士_台北內湖,DC,18.74
2022-Q1,BZ12,台明賓士_新北三重,DC,0.59
2022-Q1,BZ13,聯立賓士_新竹,DC,0.05
2022-Q1,DD00,建國北路高架A區,AC,73.32
2022-Q1,DD01,建國北路高架B區,AC,62.39
2022-Q1,DD02,建國北路高架G區,AC,19.4
2022-Q1,DD03,建國北路高架H區,AC,12.09
2022-Q1,DD04,建國北路高架IA區,AC,19.83
2022-Q1,EV00,台北內湖旗艦站,AC,4.57
2022-Q1,EV00,台北內湖旗艦站,DC,0.4
2022-Q1,EV01,高雄鳳頂高爾夫練習場,AC,1.47
2022-Q1,EV02,嘉義優遊吧斯,AC,3.14
2022-Q1,EV03,新竹老爺關西高爾夫,AC,4.55
2022-Q1,EV04,桃園JC PARK春日館,AC,23.09
2022-Q1,EV05,台中港酒店,AC,5.59
2022-Q1,EV06,台中裕元花園酒店,AC,20.97
2022-Q1,EV07,宜蘭新月廣場,AC,30.89
2022-Q1,EV08,Times台南U.I.J Hotel & Hostel停車場,AC,6.38
2022-Q1,EV09,台北大倉久和大飯店,AC,20.53
2022-Q1,EV10,高雄漢神百貨,AC,30.85
2022-Q1,EV11,台北台日交流協會,AC,7.32
2022-Q1,EV12,宜蘭安永心食館,DC,5.74
2022-Q1,EV13,新竹昌益科技產發園區,AC,2.92
2022-Q1,EV14,台北花園大酒店,AC,0.38
2022-Q1,EV16,嘉義耐斯王子大飯店,AC,9.33
2022-Q1,EV17,台北信義之星(限住戶使用),AC,17.94
2022-Q1,EV18,台中福華大飯店,AC,8.71
2022-Q1,EV19,苗栗天空之城,AC,2.21
2022-Q1,EV20,新北土城日月光廣場,AC,5.71
2022-Q1,EV20,新北土城日月光廣場,DC,9.45
2022-Q1,EV21,新北馥蘭朵烏來渡假酒店,AC,3.17
2022-Q1,EV22,宜蘭五結綠舞觀光飯店,AC,5.7
2022-Q1,EV23,台中豐原高爾夫球場,AC,3.32
2022-Q1,EV24,宜蘭礁溪立體停車場(原宜蘭九號溫泉),AC,0.27
2022-Q1,EV24,宜蘭礁溪立體停車場(原宜蘭九號溫泉),DC,0.06
2022-Q1,EV25,新北萬里沐舍酒店,DC,3.51
2022-Q1,EV26,宜蘭外澳服務區停車場,AC,3.62
2022-Q1,EV27,新竹豐邑喜來登大飯店,AC,32.72
2022-Q1,EV28,新竹Big City遠東巨城,AC,78.36
2022-Q1,EV29,高雄大榮中學停車場,AC,22.31
2022-Q1,EV30,雲林斗六緻麗伯爵酒店,AC,13.71
2022-Q1,EV31,新北永和比漾廣場,AC,14.27
2022-Q1,EV32,台中米平方廣場,AC,13.02
2022-Q1,EV33,台東日暉國際渡假村,AC,2.98
2022-Q1,EV34,台北維多麗亞酒店,AC,4.57
2022-Q1,EV35,宜蘭蘭陽烏石港海景酒店,AC,3.82
2022-Q1,EV36,台中豐邑MOXY酒店,AC,1.54
2022-Q1,EV37,高雄SKM Park,AC,27.02
2022-Q1,EV39,新北汐止宏碁大樓(限大樓員工/廠商使用),AC,6.23
2022-Q1,EV40,新北大板根森林溫泉渡假村,AC,0.68
2022-Q1,EV41,台南長榮酒店,AC,7.25
2022-Q1,FC00,屏東幸福公園停車場,AC,51.11
2022-Q1,FC01,桃園長庚高爾夫球場,AC,0.25
2022-Q1,FC02,桃捷長庚醫院站共開大樓,AC,0
2022-Q1,FE00,華城_中壢廠員工停車場,AC,4.03
2022-Q1,FH00,雀客旅館_新北蘆洲,AC,9.92
2022-Q1,FH01,F-Hotel_嘉義館,AC,2.26
2022-Q1,HS00,金弘笙_新竹竹北店,DC,28.22
2022-Q1,HS01,金弘笙_台南永康店,DC,15.78
2022-Q1,HS02,金弘笙_高雄九如店,DC,29.73
2022-Q1,LX00,LEXUS_台北濱江服務廠,DC,6.52
2022-Q1,LX01,LEXUS_台北內湖營業所,DC,13.57
2022-Q1,LX02,LEXUS_桃園營業所,DC,15.69
2022-Q1,LX03,LEXUS_台中營業所,DC,12.72
2022-Q1,LX04,LEXUS_台南營業所,DC,7.12
2022-Q1,LX05,LEXUS_高雄民族營業所,DC,13.91
2022-Q1,SP00,新竹生醫科學園區,AC,7.58
2022-Q1,SP01,新竹科學園區_活動中心,AC,9.8
2022-Q1,SP06,竹南科學園區_服務處,AC,10.77
2022-Q1,TH00,屏東統一墾丁渡假村,AC,1.99
2022-Q1,TH01,新竹統一馬武督渡假會議中心,AC,1.37
2022-Q1,TH02,台中統一谷關渡假村,AC,1.82
2022-Q1,TK00,燦坤_台中五權店,DC,14.44
2022-Q1,TK02,燦坤_台北內湖總部,AC,0.11
2022-Q1,TS00,台糖_台北會館,AC,2.17
2022-Q1,TTEST001,華城內部測試站點,AC,0.71
2022-Q1,TTEST001,華城內部測試站點,DC,0.21
2022-Q1,YK00,台北新光南港軟體園區,AC,8
2022-Q1,YK00,台北新光南港軟體園區,DC,5.96
2022-Q1,YK01,台北內湖亞太經貿廣場A棟,AC,11.25
2022-Q1,YK02,新北淡水新光淡江複合學舍,AC,4.14
2022-Q2,NULL,NULL,AC,134.75
2022-Q2,7E00,7-11_桃園江園門市,DC,0.52
2022-Q2,7E01,7-11_南投邵月門市(原鑫中潭),DC,27.26
2022-Q2,7E03,7-11_南投竹秀門市,DC,13.08
2022-Q2,BQ00,桃園南崁特力家居,AC,10.45
2022-Q2,BQ00,桃園南崁特力家居,DC,33.74
2022-Q2,BZ00,台隆賓士_台北濱江,DC,5.36
2022-Q2,BZ01,賓航賓士_新北中和,DC,8.35
2022-Q2,BZ02,賓泓賓士_台南(南區),DC,1.69
2022-Q2,BZ03,德冠賓士_高雄,DC,11.06
2022-Q2,BZ04,中彰賓士_台中,DC,10.31
2022-Q2,BZ05,中華賓士_台北關渡,DC,6.48
2022-Q2,BZ06,中華賓士_桃園,DC,3.65
2022-Q2,BZ07,中華賓士_台中河南,DC,18.06
2022-Q2,BZ08,中華賓士_台南(永康區),DC,4.57
2022-Q2,BZ09,中華賓士_高屏,DC,6.72
2022-Q2,BZ10,中華賓士_花蓮,DC,1.84
2022-Q2,BZ11,中華賓士_台北內湖,DC,11.44
2022-Q2,BZ12,台明賓士_新北三重,DC,1.35
2022-Q2,BZ13,聯立賓士_新竹,DC,4.35
